Midwest CSGO,Midwest CSGO,Team Digital Dynasty,de_mirage,Loss,8-16,Jul 17 18
Midwest CSGO,Midwest CSGO,Doxxa,Multiple,Win,2-0,Jul 30 18
Midwest CSGO,Midwest CSGO,team w0w,Multiple,Win,2-0,Aug 2 18
Midwest CSGO,The Myrmidons,Midwest CSGO,Multiple,Win,0-2,Aug 7 18
Midwest CSGO,Vendetta Gaming,Midwest CSGO,Multiple,Win,0-2,Aug 10 18
Midwest CSGO,Mazer Gaming,Midwest CSGO,Multiple,Loss,2-1,Aug 14 18
Unkind eSports,Meet Your Maker,Unkind eSports,de_mirage,Win,13-16,May 23 18
Unkind eSports,Unkind eSports,Rabbi and the Alt...,de_overpass,Loss,16-19,May 25 18
Unkind eSports,Past My Bedtime,Unkind eSports,de_cache,Win,1-16,May 29 18
Unkind eSports,Unkind eSports,Purge Gaming,de_inferno,Win,16-5,May 30 18
Unkind eSports,Unkind eSports,Night Prowlers CS,de_nuke,Win,16-7,Jun 6 18
Unkind eSports,this bitch empty,Unkind eSports,de_inferno,Win,26-28,Jun 11 18
Unkind eSports,Unkind eSports,Noxious-,de_train,Win,16-7,Jun 13 18
Unkind eSports,Great Dango Family,Unkind eSports,de_cache,Win,0-16,Jun 18 18
Unkind eSports,Unkind eSports,Just Add Water,de_mirage,Win,16-5,Jun 20 18
Unkind eSports,Unkind eSports,Doxxa,de_mirage,Win,16-11,Jun 21 18
Unkind eSports,Nfinite,Unkind eSports,de_mirage,Win,7-16,Jun 27 18
Unkind eSports,Polar Ace,Unkind eSports,de_inferno,Win,6-16,Jun 29 18
Unkind eSports,VCU CSGO,Unkind eSports,de_mirage,Win,10-16,Jul 2 18
Unkind eSports,Unkind eSports,SPLEWY LEWIS n TH...,de_mirage,Win,16-14,Jul 9 18
Unkind eSports,Unkind eSports,team w0w,de_cache,Win,16-6,Jul 13 18
Unkind eSports,Defy Rebellion,Unkind eSports,de_mirage,Win,9-16,Jul 13 18
Unkind eSports,Unkind eSports,Cat Squad Returns,Multiple,Win,2-0,Jul 30 18
Unkind eSports,Unkind eSports,SPLEWY LEWIS n TH...,Multiple,Win,2-1,Aug 3 18
Unkind eSports,Unkind eSports,Aerox-Esports,Multiple,Win,2-0,Aug 7 18
Unkind eSports,Unkind eSports,AngGang,Multiple,Win,2-1,Aug 8 18
Unkind eSports,Unkind eSports,Squirtle Squad,Multiple,Loss,0-2,Aug 14 18
APE ESCAPE,Gummy Dods,APE ESCAPE,de_cache,Loss,16-0,May 21 18
