"['SPLEWY LEWIS n TH...', 'Unkind eSports']",Aug 3 18,Multiple
"['Aerox-Esports', 'Unkind eSports']",Aug 7 18,Multiple
"['AngGang', 'Unkind eSports']",Aug 8 18,Multiple
"['APE ESCAPE', 'Gummy Dods']",May 21 18,de_cache
"['APE ESCAPE', 'this bitch empty']",May 23 18,de_nuke
"['APE ESCAPE', 'Manly Men']",Jun 3 18,de_inferno
"['APE ESCAPE', 'Get Five Gaming']",Jun 4 18,de_overpass
"['APE ESCAPE', 'Fews Money Crew']",Jun 6 18,de_mirage
"['APE ESCAPE', 'Team Empire']",Jun 13 18,de_train
"['APE ESCAPE', 'MixedReviews']",Jun 15 18,de_cache
"['APE ESCAPE', 'carBOMB']",Jun 18 18,de_cache
"['APE ESCAPE', 'Imported Goods']",Jun 22 18,de_overpass
"['APE ESCAPE', 'Broken Alliance']",Jun 23 18,de_overpass
"['APE ESCAPE', 'LoliBread']",Jun 27 18,de_mirage
"['APE ESCAPE', 'UnderGods-']",Jun 28 18,de_inferno
"['APE ESCAPE', 'Falcons-GG']",Jul 6 18,de_mirage
"['APE ESCAPE', 'Average Joes Gym']",Jul 8 18,de_cache
"['APE ESCAPE', 'afraid']",Jul 12 18,de_mirage
"['APE ESCAPE', 'Half Evil']",Jul 16 18,de_inferno
"['APE ESCAPE', 'Half Evil']",Jul 31 18,Multiple
"['APE ESCAPE', 'VCU CSGO']",Aug 3 18,Multiple
"['APE ESCAPE', 'SANLAN']",Aug 7 18,Multiple
"['FilthyCasuals', 'Mobility-Gaming']",May 23 18,de_mirage
"['Brokeback Mountain', 'FilthyCasuals']",May 28 18,de_cache
"['FilthyCasuals', 'Lasgana Boys']",May 31 18,de_inferno
"['But What If', 'FilthyCasuals']",Jun 4 18,de_cache
"['Empire', 'FilthyCasuals']",Jun 6 18,de_cache
"['FilthyCasuals', 'Quixotic Reality']",Jun 11 18,de_train
"['FilthyCasuals', 'Poseidon eSports NA']",Jun 12 18,de_inferno
"['Feels IM Man', 'FilthyCasuals']",Jun 17 18,de_inferno
"['FilthyCasuals', 'Grain Bin Boyz']",Jun 21 18,de_inferno
"['FilthyCasuals', 'Team Mutinous']",Jun 25 18,de_cache
"['Clam Shack Clapba...', 'FilthyCasuals']",Jun 28 18,de_overpass
"['FilthyCasuals', 'Oceanic Squad']",Jun 29 18,de_nuke
"['FilthyCasuals', 'TangoWorldWide']",Jul 3 18,de_train
"['FilthyCasuals', 'For The Community']",Jul 9 18,de_overpass
"['ExPURE', 'FilthyCasuals']",Jul 11 18,de_train
"['FilthyCasuals', 'Vendetta Gaming']",Jul 18 18,de_mirage
"['FilthyCasuals', 'Grain Bin Boyz']",Jul 30 18,Multiple
"['FilthyCasuals', 'For The Community']",Aug 3 18,Multiple
"['FilthyCasuals', 'Snows Racers']",Aug 7 18,Multiple
"['Prison Sex', 'Vendetta Gaming']",May 24 18,de_train
"['Higher Power', 'Vendetta Gaming']",May 28 18,de_train
"['Vendetta Gaming', 'survivor']",Jun 1 18,de_overpass
"['PHENOM REBORN ASC...', 'Vendetta Gaming']",Jun 4 18,de_mirage
"['Mediocre Team', 'Vendetta Gaming']",Jun 7 18,de_nuke
"['The beasty boys', 'Vendetta Gaming']",Jun 11 18,de_mirage
"['Clam Shack Clapba...', 'Vendetta Gaming']",Jun 14 18,de_nuke
"['Phat Brain', 'Vendetta Gaming']",Jun 18 18,de_inferno
"['Mobility-Gaming', 'Vendetta Gaming']",Jun 25 18,de_inferno
"['Lore', 'Vendetta Gaming']",Jun 27 18,de_cache
"['La-Li-Lu-Le-Lo', 'Vendetta Gaming']",Jun 29 18,de_nuke
"['For The Community', 'Vendetta Gaming']",Jul 2 18,de_train
"['But What If', 'Vendetta Gaming']",Jul 6 18,de_cache
"['ExPURE', 'Vendetta Gaming']",Jul 8 18,de_train
"['Empire', 'Vendetta Gaming']",Jul 17 18,de_mirage
"['Move 37 Gaming', 'Vendetta Gaming']",Jul 29 18,Multiple
"['Vendetta Gaming', 'drain gang']",Aug 3 18,Multiple
"['NO EXECUTES', 'Vendetta Gaming']",Aug 7 18,Multiple
"['AngGang', 'Empire']",May 25 18,de_mirage
"['AngGang', 'Team Mutinous']",May 27 18,de_overpass
"['AngGang', 'PONY']",May 31 18,de_mirage
